,Year,Country,Sex,Age,Activity,Fatal
0,2016,USA,M,16,Surfing,N
1,2016,USA,M,36,Surfing,N
2,2016,USA,M,43,Surfing,N
3,2016,AUSTRALIA,M,Unknown,Surfing,N
4,2016,AUSTRALIA,M,Unknown,Surfing,N
5,2016,AUSTRALIA,Unknown,Unknown,Fishing,N
6,2016,USA,M,60,Other,N
7,2016,USA,F,51,Swimming,N
8,2016,NEW CALEDONIA,M,50,Surfing,Y
9,2016,USA,F,12,Other,N
10,2016,AUSTRALIA,M,Unknown,Surfing,N
11,2016,USA,M,9,Other,N
12,2016,USA,M,22,Fishing,N
13,2016,USA,M,25,Surfing,N
14,2016,USA,M,37,Surfing,N
15,2016,REUNION,M,20,Surfing,N
16,2016,USA,M,49,Other,N
17,2016,BAHAMAS,M,15,Other,N
18,2016,USA,M,21,Other,N
19,2016,USA,M,22,Surfing,N
20,2016,SPAIN,M,40,Swimming,N
21,2016,CHINA,M,72,Swimming,N
22,2016,AUSTRALIA,M,Unknown,Other,N
23,2016,USA,M,43,Other,N
24,2016,AUSTRALIA,M,18,Surfing,N
25,2016,JAPAN,M,29,Surfing,N
26,2016,AUSTRALIA,M,36,Surfing,N
27,2016,BAHAMAS,M,Unknown,Fishing,N
28,2016,AUSTRALIA,M,31,Fishing,N
29,2016,USA,Unknown,Unknown,Fishing,N
30,2016,USA,F,9,Surfing,N
31,2016,USA,F,11,Unknown,N
32,2016,USA,M,Unknown,Swimming,N
33,2016,BAHAMAS,M,Unknown,Other,N
34,2016,SPAIN,F,10,Other,N
35,2016,USA,M,Unknown,Fishing,N
36,2016,USA,M,59,Fishing,N
37,2016,USA,M,Unknown,Fishing,N
38,2016,USA,F,42,Swimming,N
39,2016,AUSTRALIA,M,34,Fishing,N
40,2016,USA,M,35,Unknown,N
41,2016,USA,M,11,Surfing,N
42,2016,COLUMBIA,M,59,Other,N
43,2016,SOUTH AFRICA,M,43,Fishing,N
44,2016,USA,M,42,Other,N
45,2016,USA,M,Unknown,Other,N
46,2016,USA,M,Unknown,Surfing,N
47,2016,AUSTRALIA,M,19,Fishing,N
48,2016,USA,F,6,Other,N
49,2016,USA,M,19,Other,N
50,2016,USA,M,27,Surfing,N
51,2016,USA,M,64,Swimming,N
52,2016,AUSTRALIA,F,60,Other,Y
53,2016,EGYPT,M,23,Swimming,N
54,2016,AUSTRALIA,M,Unknown,Fishing,Unknown
55,2016,NEW CALEDONIA,M,Unknown,Surfing,N
56,2016,AUSTRALIA,M,29,Surfing,Y
57,2016,USA,F,52,Swimming,N
58,2016,USA,M,13,Swimming,N
59,2016,USA,F,57,Swimming,N
60,2016,USA,F,22,Swimming,N
61,2016,USA,F,11,Swimming,N
62,2016,USA,M,48,Swimming,N
